Section Name,Name,Description,Price,Discounted Price,Quantity,Category,Product Images,Calories,Grams,Proteins,Fats,Veg,Addons Titles,Addons Prices,Takeaway Option,Specification,Attribute Name,Attribute Options,Attribute Price,Attribute Quantity
Restaurants,Classic Beef Burger,Juicy beef patty with cheese and pickles.,250,200,-1,Burger,"https://images.unsplash.com/photo-1550547660-d9450f859349, https://images.unsplash.com/photo-1571091718767-18b5b1457add",650,280,35,30,No,Cheese|Bacon,30|50,Yes,Nutrition:Protein|Taste:Savory,Size|Type,"Small,Medium,Large|Regular,Spicy",50,100
Restaurants,Veggie Burger,Healthy plant-based patty with fresh greens.,220,0,-1,Burger,"https://images.unsplash.com/photo-1520072959219-c595dc870360, https://images.unsplash.com/photo-1512152272829-e3139592d56f",520,250,12,18,Yes,Avocado|Jalapenos,40|20,No,,,,,
Restaurants,Margherita Pizza,Classic Italian pizza with tomato and mozzarella.,450,380,-1,Italian,"https://images.unsplash.com/photo-1604068549290-dea0e4a305ca, https://images.unsplash.com/photo-1593560708920-61dd98c46a4e",880,400,30,25,Yes,Olives|Mushrooms,30|40,No,Nutrition:Carbs|Taste:Authentic,Size|Type,"Small,Medium,Large|Thin,Thick",100,50
Restaurants,Fettuccine Alfredo,Rich and creamy pasta with parmesan cheese.,380,340,-1,Italian,https://images.unsplash.com/photo-1555949258-eb67b1ef0ceb,720,350,20,40,Yes,Chicken|Shrimp,60|80,No,Nutrition:Fats|Taste:Creamy,Size|Type,"Regular,Full|Classic,Cheesy",90,40
Restaurants,Spicy Tuna Roll,Fresh tuna with spicy mayo and cucumber.,500,0,-1,New Mexican,"https://images.unsplash.com/photo-1579871494447-9811cf80d66c, https://images.unsplash.com/photo-1583623025817-d180a2221d0a",340,200,15,12,No,Wasabi|Ginger,10|10,Yes,,,,,
Restaurants,Miso Ramen,Warm noodle soup with pork and egg.,420,390,-1,New Mexican,"https://images.unsplash.com/photo-1552611052-33e04de081de, https://images.unsplash.com/photo-1591814468924-caf88d1232e1",850,500,30,35,No,Extra Egg|Bamboo,40|30,No,Nutrition:Protein|Taste:Umami,Size|Type,"Small,Large|Mild,Spicy",60,20
Restaurants,Chicken Burrito,"Flour tortilla with chicken, rice, and beans.",300,270,-1,Bar Food,"https://images.unsplash.com/photo-1626700051175-6818013e1d4f, https://images.unsplash.com/photo-1566740933430-b5e70b06d2d5",750,400,35,20,No,Guacamole|Salsa,50|20,Yes,Nutrition:Filling|Taste:Tangy,Size|Type,"Regular,Giant|Standard,Toasted",50,60
Restaurants,Steak Tacos,Three tacos with grilled steak and onions.,350,0,-1,Bar Food,"https://images.unsplash.com/photo-1565299585323-38d6b0865b47, https://images.unsplash.com/photo-1599974579688-8dbdd335c77f",580,320,28,22,No,Sour Cream|Cheese,30|20,Yes,Nutrition:Protein,,,,
Restaurants,Club Sandwich,Triple-decker sandwich with turkey and bacon.,240,210,-1,Italian,"https://images.unsplash.com/photo-1550507992-eb63ffee0847, https://images.unsplash.com/photo-1553909489-cd47e0907980",600,280,25,25,No,Fries|Mayo,70|10,No,Nutrition:Balanced|Taste:Classic,Size|Type,"Half,Full|White,Wheat",40,90
Restaurants,Caprese Panini,Grilled panini with mozzarella and tomato.,220,0,-1,Italian,"https://images.unsplash.com/photo-1481061720411-d3b669ef7e6c, https://images.unsplash.com/photo-1509722747041-619f392c83bc",450,240,15,20,Yes,Pesto|Glaze,30|20,No,,,,,
